address_id,customer_id,label,address_line1,address_line2,city,state,postal_code,country,is_default_shipping,is_default_billing
ADDR-0000001-1,CUST-0000001,Home,2972 Pine St,,Columbus,OH,68878,USA,TRUE,FALSE
ADDR-0000002-1,CUST-0000002,Home,1957 Maple Ave,,Jacksonville,PA,58520,USA,TRUE,FALSE
ADDR-0000003-1,CUST-0000003,Home,292 Sunset Blvd,,Houston,AZ,92240,USA,TRUE,FALSE
ADDR-0000003-2,CUST-0000003,Shipping,1829 Pine St,,Chicago,WA,60019,USA,FALSE,FALSE
ADDR-0000004-1,CUST-0000004,Home,2090 Sunset Blvd,,Chicago,KY,79822,USA,TRUE,FALSE
ADDR-0000004-2,CUST-0000004,Billing,625 Maple Ave,,San Francisco,IN,31643,USA,FALSE,TRUE
ADDR-0000005-1,CUST-0000005,Home,497 Maple Ave,,Columbus,MA,65519,USA,TRUE,FALSE
ADDR-0000006-1,CUST-0000006,Home,2472 Maple Ave,,Seattle,CA,51104,USA,TRUE,FALSE
ADDR-0000007-1,CUST-0000007,Home,138 Oak St,,Washington,MO,23104,USA,TRUE,FALSE
ADDR-0000008-1,CUST-0000008,Home,1233 Main St,,New York,MI,27146,USA,TRUE,FALSE
ADDR-0000009-1,CUST-0000009,Home,765 Sunset Blvd,,Philadelphia,CO,13248,USA,TRUE,FALSE
ADDR-0000010-1,CUST-0000010,Home,2305 Maple Ave,,Detroit,CT,97900,USA,TRUE,FALSE
ADDR-0000011-1,CUST-0000011,Home,1909 Oak St,,El Paso,FL,77000,USA,TRUE,FALSE
ADDR-0000012-1,CUST-0000012,Home,2834 Pine St,,Seattle,MD,51588,USA,TRUE,FALSE
ADDR-0000013-1,CUST-0000013,Home,3609 Sunset Blvd,,Denver,WA,72518,USA,TRUE,FALSE
ADDR-0000014-1,CUST-0000014,Home,1826 Broadway,,Chicago,VA,12540,USA,TRUE,FALSE
ADDR-0000015-1,CUST-0000015,Home,1854 Maple Ave,,Jacksonville,IL,76317,USA,TRUE,FALSE
ADDR-0000016-1,CUST-0000016,Home,1494 Broadway,,Washington,OR,46211,USA,TRUE,FALSE
ADDR-0000017-1,CUST-0000017,Home,3067 Pine St,,Oklahoma City,TN,88222,USA,TRUE,FALSE
ADDR-0000018-1,CUST-0000018,Home,1116 Main St,,Seattle,KY,64548,USA,TRUE,FALSE
ADDR-0000018-2,CUST-0000018,Shipping,3338 Pine St,,San Diego,KY,78494,USA,FALSE,FALSE
ADDR-0000019-1,CUST-0000019,Home,1020 Maple Ave,,Phoenix,NC,28643,USA,TRUE,FALSE
ADDR-0000019-2,CUST-0000019,Billing,779 Sunset Blvd,,San Jose,MD,84607,USA,FALSE,TRUE
ADDR-0000020-1,CUST-0000020,Home,1772 Broadway,,Austin,MN,23710,USA,TRUE,FALSE
ADDR-0000021-1,CUST-0000021,Home,748 Broadway,,Seattle,NY,82384,USA,TRUE,FALSE
ADDR-0000022-1,CUST-0000022,Home,2325 Oak St,,Charlotte,MI,34727,USA,TRUE,FALSE
ADDR-0000023-1,CUST-0000023,Home,2316 Main St,,Washington,IL,40771,USA,TRUE,FALSE
ADDR-0000024-1,CUST-0000024,Home,1145 Maple Ave,,New York,NJ,47700,USA,TRUE,FALSE
ADDR-0000025-1,CUST-0000025,Home,1905 Main St,,Denver,MA,27224,USA,TRUE,FALSE
ADDR-0000026-1,CUST-0000026,Home,3474 Oak St,,Nashville,GA,95097,USA,TRUE,FALSE
ADDR-0000026-2,CUST-0000026,Billing,672 Main St,,Los Angeles,GA,74569,USA,FALSE,TRUE
ADDR-0000027-1,CUST-0000027,Home,111 Broadway,,Phoenix,AZ,80807,USA,TRUE,FALSE
ADDR-0000028-1,CUST-0000028,Home,2346 Maple Ave,,Austin,WA,88301,USA,TRUE,FALSE
ADDR-0000029-1,CUST-0000029,Home,3678 Maple Ave,,Oklahoma City,CO,16743,USA,TRUE,FALSE
ADDR-0000030-1,CUST-0000030,Home,1428 Sunset Blvd,,Denver,MD,21135,USA,TRUE,FALSE
ADDR-0000031-1,CUST-0000031,Home,1984 Sunset Blvd,,Nashville,MA,21551,USA,TRUE,FALSE
ADDR-0000032-1,CUST-0000032,Home,2409 Sunset Blvd,,Denver,NJ,99277,USA,TRUE,FALSE
ADDR-0000033-1,CUST-0000033,Home,2769 Market St,,Austin,MD,72341,USA,TRUE,FALSE
ADDR-0000034-1,CUST-0000034,Home,1370 Maple Ave,,Nashville,MN,61374,USA,TRUE,FALSE
ADDR-0000035-1,CUST-0000035,Home,3689 Sunset Blvd,,Washington,AZ,88282,USA,TRUE,FALSE
ADDR-0000036-1,CUST-0000036,Home,3225 Market St,,Dallas,NJ,77286,USA,TRUE,FALSE
ADDR-0000037-1,CUST-0000037,Home,424 Main St,,Dallas,FL,29597,USA,TRUE,FALSE
ADDR-0000037-2,CUST-0000037,Shipping,2593 Pine St,,Columbus,TX,47762,USA,FALSE,FALSE
ADDR-0000038-1,CUST-0000038,Home,183 Oak St,,San Francisco,CA,93318,USA,TRUE,FALSE
ADDR-0000039-1,CUST-0000039,Home,1607 Oak St,,Fort Worth,CT,67637,USA,TRUE,FALSE
ADDR-0000039-2,CUST-0000039,Work,865 Oak St,,Nashville,VA,58148,USA,FALSE,FALSE
ADDR-0000040-1,CUST-0000040,Home,1763 Broadway,,Indianapolis,CT,99051,USA,TRUE,FALSE
ADDR-0000041-1,CUST-0000041,Home,2606 Broadway,,Nashville,VA,36237,USA,TRUE,FALSE
ADDR-0000042-1,CUST-0000042,Home,402 Market St,,Austin,WI,19720,USA,TRUE,FALSE
ADDR-0000043-1,CUST-0000043,Home,3051 Pine St,,Austin,MO,15399,USA,TRUE,FALSE
ADDR-0000044-1,CUST-0000044,Home,1733 Market St,,Oklahoma City,MA,77499,USA,TRUE,FALSE
ADDR-0000045-1,CUST-0000045,Home,133 Sunset Blvd,,Houston,CO,27555,USA,TRUE,FALSE
ADDR-0000046-1,CUST-0000046,Home,2625 Maple Ave,,San Jose,MO,54089,USA,TRUE,FALSE
ADDR-0000047-1,CUST-0000047,Home,881 Main St,,Charlotte,MI,64890,USA,TRUE,FALSE
ADDR-0000048-1,CUST-0000048,Home,2395 Sunset Blvd,,Detroit,NC,47721,USA,TRUE,FALSE
ADDR-0000049-1,CUST-0000049,Home,3905 Market St,,Columbus,WI,72350,USA,TRUE,FALSE
ADDR-0000050-1,CUST-0000050,Home,1217 Market St,,Houston,MI,31298,USA,TRUE,FALSE
ADDR-0000051-1,CUST-0000051,Home,584 Oak St,,San Jose,PA,63138,USA,TRUE,FALSE
ADDR-0000051-2,CUST-0000051,Shipping,3881 Maple Ave,,Oklahoma City,GA,25389,USA,FALSE,FALSE
ADDR-0000052-1,CUST-0000052,Home,576 Maple Ave,,San Antonio,OR,86434,USA,TRUE,FALSE
ADDR-0000053-1,CUST-0000053,Home,2896 Maple Ave,,Seattle,AZ,95660,USA,TRUE,FALSE
ADDR-0000054-1,CUST-0000054,Home,2852 Maple Ave,,Los Angeles,OH,15798,USA,TRUE,FALSE
ADDR-0000055-1,CUST-0000055,Home,711 Broadway,,Fort Worth,PA,80507,USA,TRUE,FALSE
ADDR-0000056-1,CUST-0000056,Home,3823 Main St,,San Antonio,FL,25376,USA,TRUE,FALSE
ADDR-0000057-1,CUST-0000057,Home,1042 Oak St,,Denver,OH,75444,USA,TRUE,FALSE
ADDR-0000058-1,CUST-0000058,Home,2638 Pine St,,Dallas,MA,45038,USA,TRUE,FALSE
ADDR-0000059-1,CUST-0000059,Home,1210 Main St,,Chicago,MN,46749,USA,TRUE,FALSE
ADDR-0000060-1,CUST-0000060,Home,3249 Pine St,,Washington,WA,52778,USA,TRUE,FALSE
ADDR-0000061-1,CUST-0000061,Home,207 Main St,,Jacksonville,IN,22198,USA,TRUE,FALSE
ADDR-0000062-1,CUST-0000062,Home,3986 Oak St,,Austin,MD,59792,USA,TRUE,FALSE
ADDR-0000063-1,CUST-0000063,Home,2062 Pine St,,Fort Worth,IN,76402,USA,TRUE,FALSE
ADDR-0000064-1,CUST-0000064,Home,528 Broadway,,Columbus,IL,25213,USA,TRUE,FALSE
ADDR-0000064-2,CUST-0000064,Shipping,680 Broadway,,San Jose,MI,69681,USA,FALSE,FALSE
ADDR-0000065-1,CUST-0000065,Home,3412 Sunset Blvd,,Chicago,MO,23336,USA,TRUE,FALSE
ADDR-0000066-1,CUST-0000066,Home,2093 Maple Ave,,Seattle,OR,94575,USA,TRUE,FALSE
ADDR-0000067-1,CUST-0000067,Home,1319 Sunset Blvd,,Los Angeles,NJ,44447,USA,TRUE,FALSE
ADDR-0000068-1,CUST-0000068,Home,3172 Sunset Blvd,,Columbus,CA,46349,USA,TRUE,FALSE
ADDR-0000068-2,CUST-0000068,Shipping,619 Maple Ave,,Phoenix,OH,29168,USA,FALSE,FALSE
ADDR-0000069-1,CUST-0000069,Home,1507 Maple Ave,,Oklahoma City,CA,16021,USA,TRUE,FALSE
ADDR-0000070-1,CUST-0000070,Home,1037 Oak St,,Chicago,CT,23425,USA,TRUE,FALSE
ADDR-0000071-1,CUST-0000071,Home,3955 Maple Ave,,New York,MN,49537,USA,TRUE,FALSE
ADDR-0000072-1,CUST-0000072,Home,736 Pine St,,Austin,WA,86865,USA,TRUE,FALSE
ADDR-0000073-1,CUST-0000073,Home,3619 Pine St,,Philadelphia,MA,30618,USA,TRUE,FALSE
ADDR-0000073-2,CUST-0000073,Billing,3762 Pine St,,El Paso,CT,25117,USA,FALSE,TRUE
ADDR-0000074-1,CUST-0000074,Home,453 Pine St,,Charlotte,NY,58354,USA,TRUE,FALSE
ADDR-0000075-1,CUST-0000075,Home,447 Pine St,,Houston,TN,27499,USA,TRUE,FALSE
ADDR-0000076-1,CUST-0000076,Home,745 Sunset Blvd,,El Paso,GA,89076,USA,TRUE,FALSE
ADDR-0000076-2,CUST-0000076,Billing,3523 Sunset Blvd,,Austin,AZ,21955,USA,FALSE,TRUE
ADDR-0000077-1,CUST-0000077,Home,3067 Oak St,,San Francisco,NY,60165,USA,TRUE,FALSE
ADDR-0000078-1,CUST-0000078,Home,2085 Broadway,,Denver,TN,52153,USA,TRUE,FALSE
ADDR-0000079-1,CUST-0000079,Home,2406 Market St,,San Francisco,IN,50508,USA,TRUE,FALSE
ADDR-0000080-1,CUST-0000080,Home,107 Maple Ave,,Denver,WA,84381,USA,TRUE,FALSE
ADDR-0000081-1,CUST-0000081,Home,3639 Pine St,,Boston,KY,39567,USA,TRUE,FALSE
ADDR-0000082-1,CUST-0000082,Home,2660 Pine St,,San Francisco,FL,22712,USA,TRUE,FALSE
ADDR-0000083-1,CUST-0000083,Home,1814 Pine St,,El Paso,VA,85066,USA,TRUE,FALSE
ADDR-0000084-1,CUST-0000084,Home,2443 Pine St,,San Francisco,CA,32570,USA,TRUE,FALSE
ADDR-0000085-1,CUST-0000085,Home,3462 Main St,,Indianapolis,PA,18600,USA,TRUE,FALSE
ADDR-0000086-1,CUST-0000086,Home,3597 Pine St,,Oklahoma City,FL,39012,USA,TRUE,FALSE
ADDR-0000086-2,CUST-0000086,Billing,2875 Market St,,Dallas,WI,63674,USA,FALSE,TRUE
ADDR-0000087-1,CUST-0000087,Home,2723 Broadway,,Dallas,NC,95998,USA,TRUE,FALSE
ADDR-0000088-1,CUST-0000088,Home,499 Oak St,,Phoenix,CT,43902,USA,TRUE,FALSE
ADDR-0000089-1,CUST-0000089,Home,1951 Broadway,,San Antonio,KY,32099,USA,TRUE,FALSE
ADDR-0000089-2,CUST-0000089,Billing,2105 Sunset Blvd,,Oklahoma City,KY,21539,USA,FALSE,TRUE
ADDR-0000090-1,CUST-0000090,Home,775 Sunset Blvd,,Fort Worth,NY,39939,USA,TRUE,FALSE
ADDR-0000091-1,CUST-0000091,Home,2970 Market St,,Columbus,TX,77054,USA,TRUE,FALSE
