customer_id,first_name,last_name,email,phone_number,date_of_birth,gender,preferred_channel,marketing_opt_in,vip_flag,lifetime_value_cents,avg_order_value_cents,total_orders,preferred_store_id,notes
CUST-0000001,Harper,Davis,harper.davis1@example.com,+1-(960)-381-5012,1991-03-24,Male,email,TRUE,TRUE,0,0,0,STR-0004,
CUST-0000002,Ava,Davis,ava.davis2@shopmail.com,+1-(281)-665-5803,1952-11-20,Female,email,FALSE,FALSE,68325,68325,1,STR-0030,
CUST-0000003,Evelyn,Young,evelyn.young3@shopmail.com,+1-(859)-569-3340,1989-03-08,Female,email,TRUE,FALSE,99036,49518,2,,
CUST-0000004,Olivia,Hill,olivia.hill4@retailco.test,+1-(357)-482-3646,1971-09-01,Female,email,FALSE,FALSE,440958,73493,6,STR-0073,
CUST-0000005,Alex,Jones,alex.jones5@example.com,+1-(435)-169-1514,1950-06-03,Female,sms,TRUE,FALSE,1354232,169279,8,STR-0061,
CUST-0000006,Liam,Walker,liam.walker6@retailco.test,+1-(611)-160-3697,1981-01-13,Male,email,FALSE,FALSE,1084325,216865,5,STR-0025,
CUST-0000007,Mia,Hill,mia.hill7@example.com,+1-(835)-183-7868,1963-10-19,Female,email,FALSE,FALSE,445518,222759,2,STR-0041,
CUST-0000008,Sophia,Martin,sophia.martin8@example.com,+1-(338)-370-2891,1999-12-18,Male,sms,FALSE,FALSE,245200,61300,4,STR-0007,
CUST-0000009,Parker,Ramirez,parker.ramirez9@retailco.test,+1-(243)-415-6974,1955-01-12,Male,sms,TRUE,FALSE,5100767,728681,7,,
CUST-0000010,Reese,Lopez,reese.lopez10@mail.com,+1-(240)-211-8119,1983-12-26,Male,none,TRUE,FALSE,0,0,0,STR-0056,High risk - flagged for manual review
CUST-0000011,Ella,Jackson,ella.jackson11@retailco.test,+1-(397)-530-7211,1962-12-06,Female,email,FALSE,FALSE,0,0,0,,
CUST-0000012,Madison,Harris,madison.harris12@shopmail.com,+1-(610)-349-3417,1964-12-01,Female,sms,TRUE,FALSE,499716,124929,4,STR-0016,
CUST-0000013,Ava,Garcia,ava.garcia13@retailco.test,+1-(355)-336-7275,1961-03-23,Male,email,TRUE,FALSE,0,0,0,STR-0099,
CUST-0000014,Evan,Rodriguez,evan.rodriguez14@example.com,+1-(604)-706-1444,2000-11-14,Male,email,TRUE,FALSE,164694,82347,2,,
CUST-0000015,River,Torres,river.torres15@shopmail.com,+1-(607)-832-4249,2001-10-23,Female,email,FALSE,FALSE,77418,25806,3,,
CUST-0000016,Scarlett,Nguyen,scarlett.nguyen16@mail.com,+1-(531)-972-5022,1952-02-09,Female,sms,TRUE,FALSE,136364,136364,1,STR-0063,
CUST-0000017,Noah,Scott,noah.scott17@mail.com,+1-(636)-863-6419,1983-12-15,Male,email,FALSE,FALSE,3013435,602687,5,STR-0025,
CUST-0000018,Jamie,Smith,jamie.smith18@mail.com,+1-(681)-590-8216,1984-03-02,Male,email,TRUE,FALSE,695877,231959,3,STR-0073,
CUST-0000019,Shawn,Lewis,shawn.lewis19@shopmail.com,+1-(499)-133-4792,1987-12-10,Female,email,TRUE,FALSE,891085,178217,5,,
CUST-0000020,Skyler,Torres,skyler.torres20@example.com,+1-(984)-788-5415,1969-01-25,Female,email,TRUE,FALSE,1144990,76332,15,,
CUST-0000021,Shawn,Brown,shawn.brown21@retailco.test,+1-(731)-470-9167,1965-08-25,Male,email,FALSE,FALSE,103564,25891,4,,
CUST-0000022,Charlotte,Allen,charlotte.allen22@retailco.test,+1-(272)-382-7798,1984-09-09,Female,sms,FALSE,FALSE,1603528,400882,4,STR-0062,
CUST-0000023,Scarlett,Martinez,scarlett.martinez23@shopmail.com,+1-(871)-258-2225,1975-05-11,Female,sms,FALSE,FALSE,573660,95610,6,STR-0092,
CUST-0000024,Sam,White,sam.white24@shopmail.com,+1-(350)-350-9702,1979-10-22,Female,email,TRUE,FALSE,550792,137698,4,STR-0030,
CUST-0000025,Victoria,Young,victoria.young25@mail.com,+1-(995)-918-4770,1967-06-08,Female,email,FALSE,FALSE,117664,29416,4,STR-0081,
CUST-0000026,Ava,Davis,ava.davis26@shopmail.com,+1-(578)-788-5295,1968-07-27,Female,email,TRUE,TRUE,1153852,164836,7,,
CUST-0000027,Avery,Robinson,avery.robinson27@example.com,+1-(879)-317-1349,2002-06-08,Prefer not to say,email,FALSE,FALSE,1006158,335386,3,STR-0100,
CUST-0000028,Amelia,Williams,amelia.williams28@mail.com,+1-(670)-758-1510,2002-08-28,Male,email,FALSE,FALSE,544278,77754,7,STR-0017,
CUST-0000029,Cory,Lee,cory.lee29@mail.com,+1-(584)-256-8770,2001-02-27,Male,email,FALSE,FALSE,529806,176602,3,STR-0043,
CUST-0000030,Emerson,Martin,emerson.martin30@mail.com,+1-(560)-106-3972,1950-03-19,Female,email,TRUE,FALSE,242240,48448,5,STR-0044,
CUST-0000031,Ava,Anderson,ava.anderson31@mail.com,+1-(274)-506-1693,1978-01-15,Female,email,TRUE,FALSE,48944,24472,2,STR-0042,
CUST-0000032,Harper,Davis,harper.davis32@retailco.test,+1-(995)-457-6752,1959-11-27,Male,email,TRUE,FALSE,1065685,213137,5,STR-0099,
CUST-0000033,Evan,Lewis,evan.lewis33@example.com,+1-(259)-477-5703,2001-11-28,Non-binary,sms,TRUE,FALSE,941604,313868,3,,
CUST-0000034,Shawn,Perez,shawn.perez34@example.com,+1-(847)-762-6482,2001-06-04,Female,email,FALSE,FALSE,2892078,413154,7,STR-0075,
CUST-0000035,Lee,Johnson,lee.johnson35@mail.com,+1-(517)-284-4509,1984-08-07,Male,email,TRUE,FALSE,310412,155206,2,,
CUST-0000036,Sawyer,Harris,sawyer.harris36@shopmail.com,+1-(366)-936-4271,1954-10-05,Female,sms,FALSE,FALSE,0,0,0,,
CUST-0000037,Robin,Garcia,robin.garcia37@mail.com,+1-(430)-128-6221,1999-12-21,Male,email,TRUE,FALSE,119536,29884,4,,
CUST-0000038,Olivia,Torres,olivia.torres38@retailco.test,+1-(936)-247-5772,1978-01-20,Male,email,FALSE,FALSE,140150,14015,10,STR-0065,
CUST-0000039,Sawyer,Gonzalez,sawyer.gonzalez39@example.com,+1-(405)-142-6170,1986-09-13,Prefer not to say,email,TRUE,FALSE,396301,396301,1,STR-0084,
CUST-0000040,Abigail,Jackson,abigail.jackson40@mail.com,+1-(657)-717-7981,1995-12-15,Male,sms,FALSE,FALSE,408070,204035,2,,
CUST-0000041,Dana,Jones,dana.jones41@retailco.test,+1-(743)-475-7521,1985-11-09,Male,email,TRUE,FALSE,175406,25058,7,,
CUST-0000042,Rowan,Rodriguez,rowan.rodriguez42@retailco.test,+1-(706)-126-6912,1970-10-12,Male,email,FALSE,FALSE,504828,252414,2,STR-0053,
CUST-0000043,Madison,Anderson,madison.anderson43@mail.com,+1-(732)-390-2292,1989-04-21,Female,email,TRUE,FALSE,73874,36937,2,,
CUST-0000044,Evelyn,Martin,evelyn.martin44@shopmail.com,+1-(451)-924-7653,1986-08-03,Female,email,TRUE,FALSE,224886,74962,3,,
CUST-0000045,Rowan,Hernandez,rowan.hernandez45@shopmail.com,+1-(728)-578-9171,1986-08-01,Male,email,FALSE,FALSE,10372,10372,1,STR-0084,
CUST-0000046,Lee,Martinez,lee.martinez46@retailco.test,+1-(817)-621-7576,1973-01-02,Male,email,TRUE,FALSE,434787,144929,3,STR-0079,
CUST-0000047,Taylor,Hill,taylor.hill47@shopmail.com,+1-(472)-771-4728,1959-01-19,Female,sms,TRUE,FALSE,0,0,0,STR-0005,
CUST-0000048,Kendall,Robinson,kendall.robinson48@mail.com,+1-(760)-462-5331,1966-08-07,Female,email,TRUE,FALSE,68217,68217,1,STR-0091,
CUST-0000049,Ava,Moore,ava.moore49@mail.com,+1-(341)-211-4920,1990-01-22,Female,sms,TRUE,FALSE,84772,21193,4,,High risk - flagged for manual review
CUST-0000050,Kendall,Williams,kendall.williams50@shopmail.com,+1-(708)-290-5742,2003-01-10,Female,phone,TRUE,FALSE,594404,148601,4,,
CUST-0000051,Riley,Sanchez,riley.sanchez51@example.com,+1-(390)-243-8822,1985-04-01,Male,email,TRUE,FALSE,510408,170136,3,STR-0047,
CUST-0000052,Noah,Wright,noah.wright52@retailco.test,+1-(981)-353-2341,1972-08-17,Female,phone,TRUE,FALSE,316176,45168,7,STR-0022,
CUST-0000053,Sam,Jones,sam.jones53@example.com,+1-(271)-583-1519,1987-07-06,Female,none,TRUE,FALSE,964080,64272,15,,
CUST-0000054,Robin,Anderson,robin.anderson54@retailco.test,+1-(672)-454-3541,1988-04-24,Female,phone,TRUE,FALSE,22071,3153,7,STR-0013,
CUST-0000055,Abigail,King,abigail.king55@retailco.test,+1-(624)-407-5508,2002-09-19,Female,sms,TRUE,FALSE,5680410,568041,10,STR-0068,
CUST-0000056,Dana,White,dana.white56@example.com,+1-(749)-841-4120,2002-05-13,Female,email,TRUE,FALSE,667839,222613,3,STR-0027,
CUST-0000057,Liam,Robinson,liam.robinson57@example.com,+1-(940)-580-6246,1992-06-11,Male,phone,FALSE,TRUE,526287,175429,3,,
CUST-0000058,Alex,Wright,alex.wright58@shopmail.com,+1-(213)-117-9673,1959-05-18,Non-binary,email,FALSE,FALSE,316088,39511,8,,
CUST-0000059,Noah,Brown,noah.brown59@example.com,+1-(920)-275-2354,1974-07-21,Female,none,FALSE,FALSE,365484,52212,7,,
CUST-0000060,River,Hernandez,river.hernandez60@retailco.test,+1-(781)-954-7375,1962-09-11,Male,sms,FALSE,FALSE,424430,84886,5,STR-0030,
CUST-0000061,Parker,Harris,parker.harris61@retailco.test,+1-(958)-498-6188,1982-02-03,Male,email,FALSE,FALSE,0,0,0,STR-0072,
CUST-0000062,Emerson,Martin,emerson.martin62@mail.com,+1-(705)-249-2036,1995-07-09,Male,sms,TRUE,FALSE,547828,136957,4,STR-0059,
CUST-0000063,Ava,Lopez,ava.lopez63@example.com,+1-(945)-572-4434,1977-05-27,Female,sms,TRUE,FALSE,33481,33481,1,STR-0049,
CUST-0000064,Chloe,Ramirez,chloe.ramirez64@example.com,+1-(211)-200-5239,1991-09-24,Female,sms,TRUE,FALSE,455218,227609,2,STR-0020,
CUST-0000065,Pat,Scott,pat.scott65@shopmail.com,+1-(674)-337-7636,1965-03-06,Female,email,FALSE,FALSE,224532,112266,2,STR-0028,
CUST-0000066,Sam,Thompson,sam.thompson66@shopmail.com,+1-(833)-276-5873,1966-10-03,Female,email,TRUE,FALSE,572024,143006,4,STR-0018,
CUST-0000067,Hayden,Robinson,hayden.robinson67@shopmail.com,+1-(763)-623-2854,1969-02-09,Female,email,FALSE,FALSE,98636,49318,2,STR-0095,
CUST-0000068,Amelia,Rodriguez,amelia.rodriguez68@retailco.test,+1-(412)-924-1972,1969-06-18,Male,email,FALSE,FALSE,1826919,608973,3,STR-0087,
CUST-0000069,Mia,Smith,mia.smith69@example.com,+1-(949)-569-6869,1951-02-26,Female,none,FALSE,FALSE,66701,66701,1,STR-0017,
CUST-0000070,Evelyn,Garcia,evelyn.garcia70@example.com,+1-(202)-318-8812,2001-03-19,Male,email,TRUE,FALSE,0,0,0,,
CUST-0000071,Shawn,Flores,shawn.flores71@shopmail.com,+1-(423)-188-2646,1997-02-19,Female,none,TRUE,FALSE,17602,17602,1,STR-0077,
CUST-0000072,Quinn,Williams,quinn.williams72@example.com,+1-(608)-618-5693,1965-12-17,Female,sms,TRUE,FALSE,194994,64998,3,STR-0066,
CUST-0000073,Chloe,Taylor,chloe.taylor73@retailco.test,+1-(581)-229-5403,1959-02-25,Female,phone,TRUE,FALSE,687644,171911,4,STR-0059,
CUST-0000074,Logan,Clark,logan.clark74@mail.com,+1-(478)-945-2276,1969-06-04,Female,email,FALSE,FALSE,114264,14283,8,STR-0037,
CUST-0000075,Alex,Harris,alex.harris75@mail.com,+1-(307)-310-9680,1990-07-16,Non-binary,sms,TRUE,FALSE,1026851,146693,7,,
CUST-0000076,Dana,Moore,dana.moore76@retailco.test,+1-(277)-307-3230,1956-10-04,Male,email,TRUE,FALSE,294228,294228,1,STR-0060,
CUST-0000077,Harper,Garcia,harper.garcia77@mail.com,+1-(277)-122-2056,1993-11-15,Female,phone,FALSE,FALSE,0,0,0,STR-0022,
CUST-0000078,Sophia,Walker,sophia.walker78@example.com,+1-(290)-386-7275,1997-07-07,Female,email,FALSE,FALSE,0,0,0,STR-0092,
CUST-0000079,Chloe,Brown,chloe.brown79@retailco.test,+1-(790)-966-7363,1983-03-06,Male,phone,FALSE,FALSE,0,0,0,,
CUST-0000080,Hayden,Ramirez,hayden.ramirez80@shopmail.com,+1-(865)-424-3854,1960-09-23,Female,sms,TRUE,FALSE,0,0,0,STR-0089,
CUST-0000081,Reese,Wilson,reese.wilson81@retailco.test,+1-(910)-169-6742,1989-02-24,Male,email,TRUE,FALSE,854050,427025,2,STR-0049,
CUST-0000082,Pat,Wilson,pat.wilson82@retailco.test,+1-(620)-813-9849,1989-11-10,Male,email,TRUE,FALSE,0,0,0,STR-0055,
CUST-0000083,Reese,Lewis,reese.lewis83@shopmail.com,+1-(470)-331-5400,1969-01-05,Female,email,FALSE,FALSE,564984,282492,2,STR-0008,
CUST-0000084,Alex,Flores,alex.flores84@shopmail.com,+1-(316)-524-3451,1996-10-19,Female,phone,TRUE,FALSE,153416,153416,1,STR-0053,
CUST-0000085,Emerson,Young,emerson.young85@example.com,+1-(434)-237-5923,1958-08-25,Female,sms,TRUE,FALSE,978732,489366,2,STR-0063,
CUST-0000086,Harper,Davis,harper.davis86@example.com,+1-(448)-481-9008,1967-08-06,Non-binary,email,TRUE,FALSE,1935003,276429,7,STR-0037,High risk - flagged for manual review
CUST-0000087,Quinn,Robinson,quinn.robinson87@mail.com,+1-(894)-633-7506,1968-02-01,Female,none,FALSE,FALSE,199335,66445,3,STR-0062,
